
Transactions Submitted
Transaction ID,Client Ref 2,Action Date,Instalment,Service Type,Instalments,Account Name,Value,Frequency,

Cancelled
Transaction ID,Client Ref 2,Action Date,Instalment,Service Type,Instalments,Account Name,Value,Frequency,

InProgress
Transaction ID,Client Ref 2,Action Date,Instalment,Service Type,Instalments,Account Name,Value,Frequency,

Failed
Transaction ID,Client Ref 2,Action Date,Instalment,Service Type,Instalments,Account Name,Value,Frequency,Reason Code,

Future
Transaction ID,Client Ref 2,Action Date,Instalment,Service Type,Instalments,Account Name,Value,Frequency,
9916128,2373,2018/04/30,2,2 Day Debit,2,F,200.00,3,
9995546,3940,2018/04/30,2,2 Day Debit,2,C,88.00,3,
9995446,3626,2018/04/30,2,2 Day Debit,2,T,170.00,3,
9939660,3461,2018/04/30,2,2 Day Debit,2,N,178.00,3,
9954466,2475,2018/04/30,2,2 Day Debit,2,Y,300.00,3,
10352963,2851,2018/04/30,1,2 Day Debit,2,N,250.00,3,
10353414,5081,2018/04/30,1,2 Day Debit,2,N,285.00,3,
9995463,3666,2018/04/30,2,2 Day Debit,3,Q,170.00,3,
10353431,4659,2018/04/30,1,2 Day Debit,1,A,295.00,3,
10353882,2882,2018/04/30,1,2 Day Debit,3,N,50.00,3,
10352880,3432,2018/04/30,1,2 Day Debit,2,L,153.00,3,
10353331,4536,2018/04/30,1,2 Day Debit,1,S,153.00,3,
10353782,2108,2018/04/30,1,2 Day Debit,3,W,295.00,3,
10353799,4196,2018/04/30,1,2 Day Debit,3,S,250.00,3,
9995078,2062,2018/04/30,2,2 Day Debit,4,N,300.00,3,
9995529,3601,2018/04/30,2,2 Day Debit,3,N,300.00,3,
10353248,2769,2018/04/30,1,2 Day Debit,1,N,78.00,3,
10354150,4318,2018/04/30,1,2 Day Debit,3,N,50.00,3,
10353148,5315,2018/04/30,1,2 Day Debit,1,N,300.00,3,
10353716,3608,2018/04/30,1,2 Day Debit,3,S,295.00,3,
10354167,4576,2018/04/30,1,2 Day Debit,3,B,300.00,3,
9954568,2308,2018/04/30,2,2 Day Debit,2,N,100.00,3,
9921874,4629,2018/04/30,2,2 Day Debit,2,N,201.00,3,
10353046,2254,2018/04/30,1,2 Day Debit,1,K,119.00,3,
10353203,5250,2018/04/30,1,2 Day Debit,1,N,301.00,3,
10354105,5372,2018/04/30,1,2 Day Debit,3,W,300.00,3,
9916185,4533,2018/04/30,2,2 Day Debit,2,N,200.00,3,
9921774,4457,2018/04/30,2,2 Day Debit,2,N,200.00,3,
9995603,4046,2018/04/30,2,2 Day Debit,4,Y,88.00,3,
10353103,2036,2018/04/30,1,2 Day Debit,1,K,300.00,3,
10353514,2498,2018/04/30,1,2 Day Debit,2,Z,295.00,3,
9938150,3595,2018/04/30,2,2 Day Debit,2,N,300.00,3,
10353571,5359,2018/04/30,1,2 Day Debit,1,V,300.00,3,
10353471,3873,2018/04/30,1,2 Day Debit,1,N,37.00,3,
9994867,4662,2018/04/30,2,2 Day Debit,2,A,300.00,3,
9916762,5276,2018/04/30,2,2 Day Debit,2,N,157.00,3,
10353939,4961,2018/04/30,1,2 Day Debit,3,B,250.00,3,
9922408,3881,2018/04/30,2,2 Day Debit,2,S,450.00,3,
9951949,3003,2018/04/30,2,2 Day Debit,3,L,250.00,3,
10352937,3024,2018/04/30,1,2 Day Debit,1,N,300.00,3,
10353839,2343,2018/04/30,1,2 Day Debit,3,N,295.00,3,
10352837,3622,2018/04/30,1,2 Day Debit,1,N,300.00,3,
10353305,5012,2018/04/30,1,2 Day Debit,1,N,150.00,3,
10354207,2369,2018/04/30,1,2 Day Debit,2,F,160.00,3,
10352849,2766,2018/04/30,1,2 Day Debit,1,L,300.00,3,
10353300,5051,2018/04/30,1,2 Day Debit,2,S,237.00,3,
9922211,4239,2018/04/30,2,2 Day Debit,2,H,200.00,3,
9956524,2498,2018/04/30,2,2 Day Debit,3,Z,150.00,3,
10352866,3461,2018/04/30,1,2 Day Debit,1,N,300.00,3,
10353317,5073,2018/04/30,1,2 Day Debit,2,L,300.00,3,
10353768,2511,2018/04/30,1,2 Day Debit,3,N,300.00,3,
9919405,5116,2018/04/30,2,2 Day Debit,2,N,285.00,3,
10353217,5194,2018/04/30,1,2 Day Debit,2,N,300.00,3,
10353668,2352,2018/04/30,1,2 Day Debit,2,B,17.00,3,
9916031,5400,2018/04/30,2,2 Day Debit,2,B,200.00,3,
9995064,4000,2018/04/30,2,2 Day Debit,2,G,285.00,3,
10353234,4416,2018/04/30,1,2 Day Debit,1,N,153.00,3,
10353685,2437,2018/04/30,1,2 Day Debit,4,A,252.00,3,
10354136,5029,2018/04/30,1,2 Day Debit,3,P,295.00,3,
9954518,2405,2018/04/30,2,2 Day Debit,2,N,210.00,3,
9995415,3091,2018/04/30,2,2 Day Debit,2,T,88.00,3,
10353134,5351,2018/04/30,1,2 Day Debit,1,Y,37.00,3,
10353585,4500,2018/04/30,1,2 Day Debit,1,T,153.00,3,
10354036,4096,2018/04/30,1,2 Day Debit,3,A,300.00,3,
9916648,5466,2018/04/30,2,2 Day Debit,2,N,357.00,3,
9939629,3468,2018/04/30,2,2 Day Debit,2,B,183.00,3,
9995389,3021,2018/04/30,2,2 Day Debit,3,S,295.00,3,
10353457,3973,2018/04/30,1,2 Day Debit,2,R,300.00,3,
10353908,2567,2018/04/30,1,2 Day Debit,3,N,300.00,3,
10353357,3175,2018/04/30,1,2 Day Debit,1,A,301.00,3,
9995503,3479,2018/04/30,2,2 Day Debit,3,N,300.00,3,
10353825,3558,2018/04/30,1,2 Day Debit,3,P,250.00,3,
9945349,3386,2018/04/30,2,2 Day Debit,3,B,450.00,3,
8358101,3350,2018/04/30,5,2 Day Debit,5,L,145.00,3,
10353725,4165,2018/04/30,1,2 Day Debit,3,M,295.00,3,
10354193,3208,2018/04/30,1,2 Day Debit,3,V,50.00,3,
8777856,3466,2018/04/30,4,2 Day Debit,4,W,220.00,3,
9954492,2443,2018/04/30,2,2 Day Debit,2,A,300.00,3,
9916805,5216,2018/04/30,2,2 Day Debit,2,S,225.00,3,
9947590,3193,2018/04/30,2,2 Day Debit,3,N,157.00,3,
9995021,4232,2018/04/30,2,2 Day Debit,3,T,295.00,3,
9995472,3757,2018/04/30,2,2 Day Debit,3,N,300.00,3,
10354093,5569,2018/04/30,1,2 Day Debit,3,B,153.00,3,
9995489,3306,2018/04/30,2,2 Day Debit,2,V,119.00,3,
9921235,4971,2018/04/30,2,2 Day Debit,2,A,370.00,3,
9946904,3281,2018/04/30,2,2 Day Debit,3,N,100.00,3,
9921368,4813,2018/04/30,2,2 Day Debit,2,Z,300.00,3,
9916641,5101,2018/04/30,2,2 Day Debit,2,Z,200.00,3,
9915931,5438,2018/04/30,2,2 Day Debit,2,N,200.00,3,
9938036,3622,2018/04/30,2,2 Day Debit,2,N,145.00,3,
9995292,2744,2018/04/30,2,2 Day Debit,4,V,17.00,3,
10353260,2652,2018/04/30,1,2 Day Debit,2,N,300.00,3,
10354162,5482,2018/04/30,1,2 Day Debit,3,N,250.00,3,
9995349,2947,2018/04/30,2,2 Day Debit,3,P,170.00,3,
10353160,5314,2018/04/30,1,2 Day Debit,2,P,300.00,3,
9995560,3952,2018/04/30,2,2 Day Debit,4,N,300.00,3,
10353628,4268,2018/04/30,1,2 Day Debit,2,M,50.00,3,
9995358,2959,2018/04/30,2,2 Day Debit,3,A,300.00,3,
10353528,2733,2018/04/30,1,2 Day Debit,1,N,88.00,3,
9994924,4407,2018/04/30,2,2 Day Debit,2,D,153.00,3,
9921983,4994,2018/04/30,2,2 Day Debit,2,T,202.00,3,
9994824,4812,2018/04/30,2,2 Day Debit,2,S,300.00,3,
9994981,4339,2018/04/30,2,2 Day Debit,3,N,300.00,3,
10353996,4284,2018/04/30,1,2 Day Debit,3,N,300.00,3,
9994881,4598,2018/04/30,2,2 Day Debit,2,N,295.00,3,
10352994,2547,2018/04/30,1,2 Day Debit,2,P,300.00,3,
10353896,5533,2018/04/30,1,2 Day Debit,3,O,300.00,3,
9922294,4074,2018/04/30,2,2 Day Debit,2,N,300.00,3,
9922451,3871,2018/04/30,2,2 Day Debit,2,Z,250.00,3,
9916133,2154,2018/04/30,2,2 Day Debit,2,N,350.00,3,
10353165,5313,2018/04/30,1,2 Day Debit,2,B,180.00,3,
10353616,2068,2018/04/30,1,2 Day Debit,1,L,300.00,3,
10354067,4056,2018/04/30,1,2 Day Debit,3,V,300.00,3,
9995548,3941,2018/04/30,2,2 Day Debit,3,N,301.00,3,
9995114,2313,2018/04/30,2,2 Day Debit,3,C,50.00,3,
9995565,3954,2018/04/30,2,2 Day Debit,3,M,300.00,3,
10353065,2139,2018/04/30,1,2 Day Debit,2,N,88.00,3,
10353516,2585,2018/04/30,1,2 Day Debit,2,B,50.00,3,
10354084,5561,2018/04/30,1,2 Day Debit,3,N,300.00,3,
9916062,5055,2018/04/30,2,2 Day Debit,2,N,200.00,3,
9919336,5155,2018/04/30,2,2 Day Debit,2,A,200.00,3,
9995363,2974,2018/04/30,2,2 Day Debit,3,B,300.00,3,
10353082,3593,2018/04/30,1,2 Day Debit,1,N,300.00,3,
10353533,2743,2018/04/30,1,2 Day Debit,3,M,298.00,3,
10353984,4222,2018/04/30,1,2 Day Debit,3,M,295.00,3,
10352982,2648,2018/04/30,1,2 Day Debit,1,S,239.00,3,
10353433,4650,2018/04/30,1,2 Day Debit,1,M,300.00,3,
10353884,5522,2018/04/30,1,2 Day Debit,3,N,250.00,3,
9995280,2669,2018/04/30,2,2 Day Debit,2,N,301.00,3,
9953381,2648,2018/04/30,2,2 Day Debit,2,S,139.00,3,
10353450,4059,2018/04/30,1,2 Day Debit,1,N,302.00,3,
10353901,3224,2018/04/30,1,2 Day Debit,3,M,300.00,3,
10353497,2019,2018/04/30,1,2 Day Debit,4,A,186.00,3,
10353654,2323,2018/04/30,1,2 Day Debit,4,N,300.00,3,
9995586,4008,2018/04/30,2,2 Day Debit,4,C,298.00,3,
10354065,2311,2018/04/30,1,2 Day Debit,3,N,300.00,3,
9922382,3933,2018/04/30,2,2 Day Debit,2,Q,200.00,3,
10353554,5379,2018/04/30,1,2 Day Debit,1,N,210.00,3,
10353711,2200,2018/04/30,1,2 Day Debit,3,N,300.00,3,
10353965,2172,2018/04/30,1,2 Day Debit,3,N,300.00,3,
9954563,2308,2018/04/30,2,2 Day Debit,2,N,200.00,3,
10353611,2046,2018/04/30,1,2 Day Debit,1,L,170.00,3,
10353865,5493,2018/04/30,1,2 Day Debit,3,N,250.00,3,
10354022,5257,2018/04/30,1,2 Day Debit,3,N,300.00,3,
9426177,2081,2018/04/30,3,2 Day Debit,3,A,295.00,3,
9954506,2439,2018/04/30,2,2 Day Debit,2,S,320.00,3,
9952448,2787,2018/04/30,2,2 Day Debit,3,T,188.00,3,
10353922,3227,2018/04/30,1,2 Day Debit,3,N,153.00,3,
10354079,3759,2018/04/30,1,2 Day Debit,3,N,300.00,3,
9921489,4659,2018/04/30,2,2 Day Debit,2,A,150.00,3,
9995318,2942,2018/04/30,2,2 Day Debit,4,V,300.00,3,
10353979,4658,2018/04/30,1,2 Day Debit,3,P,301.00,3,
9994964,4364,2018/04/30,2,2 Day Debit,3,N,50.00,3,
9995432,3259,2018/04/30,2,2 Day Debit,2,M,300.00,3,
9916190,2676,2018/04/30,2,2 Day Debit,2,N,278.00,3,
9995040,4171,2018/04/30,2,2 Day Debit,3,N,250.00,3,
10353205,5202,2018/04/30,1,2 Day Debit,2,N,300.00,3,
9920706,5091,2018/04/30,2,2 Day Debit,2,N,370.00,3,
9921608,4580,2018/04/30,2,2 Day Debit,2,N,150.00,3,
9938252,3572,2018/04/30,2,2 Day Debit,3,N,145.00,3,
9995508,3514,2018/04/30,2,2 Day Debit,2,N,300.00,3,
9995408,3086,2018/04/30,2,2 Day Debit,4,T,300.00,3,
10353673,2374,2018/04/30,1,2 Day Debit,3,T,300.00,3,
9921140,5067,2018/04/30,2,2 Day Debit,2,M,301.00,3,
9921708,4536,2018/04/30,2,2 Day Debit,2,S,253.00,3,
